"","State","PHA.Code","PHA.Name","OBJECTID","FORMAL_PARTICIPANT_NAME","HA_PHN_NUM","HA_FAX_NUM","HA_EMAIL_ADDR_TEXT","EXEC_DIR_PHONE","EXEC_DIR_FAX","EXEC_DIR_EMAIL"
"20","CA","CA094","Orange County Housing Authority",1376,"Orange County Housing Authority",7144802700,7144802945,"Marie.vu@occr.ocgov.com",NA,NA,""
"21","CA","CA003","Oakland Housing Authority",2529,"Oakland Housing Authority",5108741500,5108741674,"executiveoffice@oakha.org",5108741516,5108741674,"Pwells@oakha.org"
"22","WA","WA001","Seattle Housing Authority",1670,"Seattle Housing Authority",2066153300,2066153504,"execdirector@seattlehousing.org",2066153510,NA,"rod.brandon@seattlehousing.org"
"23","CA","CA007","County of Sacramento Housing Authority",2657,"County of Sacramento Housing Authority",9164401319,9164922557,"lsdozier@shra.org",9164401319,9164411197,"ldozier@shra.org"
"24","TX","TX009","Housing Authority of the City of Dallas, Texa",3319,"Housing Authority of the City of Dallas, Texa",2149518300,2149518800,"info@dhadal.com",2149518310,2149518800,"tbroussard@dhadal.com"
"25","FL","FL005","MIAMI DADE PUBLIC HOUSING AND COMMUNITY DEV",2686,"MIAMI DADE PUBLIC HOUSING AND COMMUNITY DEV",7864694106,7864694199,"mliu88@miamidade.gov",7864694106,7864694199,"phcdwebmaster@miamidade.gov"
"26","CA","CA063","San Diego Housing Commission",1335,"San Diego Housing Commission",6192319400,6195787375,"sdhcinfo@sdhc.org",6195787531,NA,"HUD-Info@sdhc.org"
"27","MA","MA002","Boston Housing Authority",32,"Boston Housing Authority",6179884000,6179884027,"communications@bostonhousing.org",6179884108,NA,"BHAAdmin@bostonhousing.org"
"28","OR","OR002","Housing Authority of Portland",1342,"Housing Authority of Portland",5038028300,5038028573,"info@homeforward.org",5038028455,5038028488,"Michael.Buonocore@homeforward.org"
"29","CA","CA019","Housing Authority of the County of San Bernardino",1444,"Housing Authority of the County of San Bernardino",9098900644,9098904618,"jborgardt@hacsb.com",9093326305,9098904618,"mgrazo@hacsb.com"
"30","CO","CO911","Colorado Division of Housing",2473,"Colorado Division of Housing",3038647845,3037896955,"katherine.helgerson@state.co.us",3038647818,3037896947,"Katherine.Helgerson@state.co.us"
"31","NC","NC901","North Carolina Commission of Indian Affairs",1388,"North Carolina Commission of Indian Affairs",9842360160,9842360185,"cia.hcv@doa.nc.gov",9198074440,NA,"greg.richardson@doa.nc.gov"
"32","AZ","AZ001","City of Phoenix Housing Department",3120,"City of Phoenix Housing Department",6022626794,6025344516,"lydia.martinez@phoenix.gov",6024956742,NA,"titus.mathew@phoenix.gov"
"33","CT","CT901","Connecticut Department of Housing",343,"Connecticut Department of Housing",8602708171,8607065741,"seila.mosquera-bruno@ct.gov",8602708171,NA,"michael.santoro@ct.gov"
"34","CA","CA056","HOUSING AUTHORITY OF THE CITY OF SAN JOSE",2392,"HOUSING AUTHORITY OF THE CITY OF SAN JOSE",4082758770,NA,"federalprograms@scchousingauthority.org",4089932903,NA,"Preston.Prince@scchousingauthority.org"
"35","CA","CA027","Housing Authority of the County of Riverside",1462,"Housing Authority of the County of Riverside",9513510700,9516886873,"CHarmon@rivco.org",9513435409,NA,"CHarmon@rivco.org"
"36","VA","VA901","Virginia Housing Development Authority",1147,"Virginia Housing Development Authority",8043435611,8043438329,"AntonShawHCVP@vhda.com",8043435611,8043438329,"AntonShawHCVP@vhda.com"
"37","WI","WI901","Wisconsin Housing & Economic Development Authority",2839,"Wisconsin Housing & Economic Development Authority",6082667884,6082671099,"joaquin.altoro@wheda.com",6082662893,NA,"Joaquin.Altoro@wheda.com"
"38","OH","OH003","Cuyahoga Metropolitan Housing Authority",1948,"Cuyahoga Metropolitan Housing Authority",2163485000,2163484925,"",2162712054,2163484925,"jpatt@cmha.net"
"39","TN","TN903","Tennessee Housing Development Agency",1037,"Tennessee Housing Development Agency",6158152177,6155642299,"HUDPic@thda.org",6158152200,6155642700,"HUDPic@thda.org"
"40","IN","IN901","Indiana Housing and Community Development Au",718,"Indiana  Housing and Community Development Au",3172327788,3172321257,"s8waitlist@ihcda.in.gov",3172327777,NA,"jsipe@ihcda.in.gov"
"41","HI","HI003","City and County of Honolulu",2894,"City and County of Honolulu",8087687096,8087687039,"cchs8@honolulu.gov",8087687062,8087687039,"gkaito@honolulu.gov"
"42","OH","OH001","Columbus Metropolitan Housing Authority",1849,"Columbus Metropolitan Housing Authority",6144216000,6144214505,"c_hillman@cmhanet.com",6144216400,NA,"c_hillman@cmhanet.com"
"43","IL","IL025","Housing Authority Cook County",2895,"Housing Authority Cook County",3125424851,3124473931,"rmonocchio@thehacc.org",3125424851,3129390741,"rmonocchio@thehacc.org"
"44","OK","OK901","OKLAHOMA HOUSING FINANCE AGENCY",1722,"OKLAHOMA HOUSING FINANCE AGENCY",4054198290,4054199290,"deborah.jenkins@ohfa.org",4054198290,4054199290,"deborah.jenkins@ohfa.org"
"45","TX","TX006","San Antonio Housing Authority",2713,"San Antonio Housing Authority",2104776000,2104776043,"ed_hinojosa@saha.org",2104776064,2104776062,"ed_hinojosa@saha.org"
"46","CA","CA104","City of Anaheim Housing Authority",1377,"City of Anaheim Housing Authority",7147654320,NA,"anaheimha@anaheim.net",7147654320,NA,"anaheimha@anaheim.net"
"47","MD","MD002","Housing Authority Of Baltimore City",1075,"Housing Authority Of Baltimore City",4439841009,4105457771,"janet.abrahams@habc.org",4103965504,4105457771,"jabrahams@habc.org"
"48","CA","CA072","Housing Authority of the County of Santa Cruz",2766,"Housing Authority of the County of Santa Cruz",8314549455,8314693712,"housing@hacosantacruz.org",8314549455,NA,"housing@hacosantacruz.org"
"49","CA","CA033","Housing Authority of the County of Monterey",3111,"Housing Authority of the County of Monterey",8317755000,8314240443,"kmann@hamonterey.org",8317755022,8314240443,"jgomez@hamonterey.org"
"50","CA","CA108","Housing Authority of the County of San Diego",1383,"Housing Authority of the County of San Diego",8586944801,8584679713,"hcds.hhsa@sdcounty.ca.gov",8586948750,8586944871,"David.Estrella@sdcounty.ca.gov"
"51","SC","SC911","SC STATE HOUSING AUTHORITY",1166,"SC STATE HOUSING AUTHORITY",8038968888,8038969012,"Section8@SCHousing.com",8038969005,8035514876,"Bonita.Shropshire@SCHousing.com"
"52","KY","KY901","Kentucky Housing Corporation-State Agency",908,"Kentucky Housing Corporation-State Agency",5025647630,5025647630,"msmith@kyhousing.org",5025647630,5025649964,"msmith@kyhousing.org"
"53","CA","CA067","Housing Authority of the County of Alameda",1535,"Housing Authority of the County of Alameda",5105388876,5107278554,"kurtw@haca.net",5107278513,5107278554,"kurtw@haca.net"
"54","MN","MN002","PHA in and for the City of Minneapolis",3033,"PHA in and for the City of Minneapolis",6123421400,6123354401,"ContactMPHA@mplspha.org",6123421495,6123421407,"Abdiwarsame@mplspha.org"
"55","OH","OH004","CINCINNATI METROPOLITAN HOUSING AUTHORITY",1748,"CINCINNATI METROPOLITAN HOUSING AUTHORITY",5139775661,5139775615,"talk2us@cintimha.com",5139775660,5136653106,"gregory.johnson@cintimha.com"
"56","TX","TX441","Harris County Housing Authority",3040,"Harris County Housing Authority",7135782100,7136694594,"horace.allison@hchatexas.org",7135782100,7136694594,"horace.allison@hchatexas.org"
"57","TX","TX001","Austin Housing Authority",1448,"Austin Housing Authority",5124774488,5124770953,"executive@hacanet.org",5124774488,5124770953,"michaelgerber@hacanet.org"
"58","CA","CA008","Housing Authority of the County of Kern",3841,"Housing Authority of the County of Kern",6616318500,6616319500,"dcampbell@kernha.org",6616318500,6616319500,"spelz@kernha.org"
"59","CA","CA024","Housing Auth. of the County of San Joaquin",2394,"Housing Auth. of the County of San Joaquin",2094605069,2094605169,"pragsdale@hacsj.org",2094605069,2094605169,"pragsdale@hacsj.org"
"60","CA","CA114","Housing Authority of the City of Glendale",3068,"Housing Authority of the City of Glendale",8185483936,8185483724,"housing@glendaleca.gov",8185483936,8185483724,"pzovak@glendaleca.gov"
"61","WA","WA055","HA City of Spokane",2697,"HA City of Spokane",5093282953,5093275246,"pparr@spokanehousing.org",5092527139,5093232364,"pparr@spokanehousing.org"
"62","CA","CA014","Housing Authority of the County of San Mateo",2882,"Housing Authority of the County of San Mateo",6508023300,6508023373,"housing@smchousing.org",6508025024,6508023373,"rhodges@smchousing.org"
"63","FL","FL003","TAMPA HOUSING AUTHORITY",957,"TAMPA HOUSING AUTHORITY",8133419101,8133670778,"leroym@thafl.com",8133419101,8133670778,"picnotices@thafl.com"
"64","MN","MN163","METROPOLITAN COUNCIL",3274,"METROPOLITAN COUNCIL",6516021187,6516021313,"terri.smith@metc.state.mn.us",6516021187,6516021313,"terri.smith@metc.state.mn.us"
"65","IN","IN017","Indianapolis Housing Agency",700,"Indianapolis Housing Agency",3172617200,3172617176,"execdir@indyhousing.org",3172617200,3172617393,"execdir@indyhousing.org"
"66","RQ","RQ005","PUERTO RICO PUBLIC HOUSING ADMINISTRATION",112,"PUERTO RICO PUBLIC HOUSING ADMINISTRATION",7877599407,7877632484,"asalgado@avp.pr.gov",7877599407,NA,"asalgado@avp.pr.gov"
"67","GA","GA006","Housing Authority of the City of ATLANTA Georgia",1028,"Housing Authority of the City of ATLANTA Georgia",4048924700,4043320100,"president@atlantahousing.org",4048924700,NA,"President@atlantahousing.org"
"68","CA","CA011","Housing Authority of the County Contra Costa",1555,"Housing Authority of the County Contra Costa",9259578045,9253720236,"ecampbell@contracostahousing.org",9259578011,9253720236,"jvillarreal@contracostahousing.org"
"69","CA","CA026","Housing Authority of the County of Stanislaus",2402,"Stanislaus Regional Housing Authority",2095572000,2095572011,"bkauss@stancoha.org",2095572003,2095572011,"bkauss@stancoha.org"
"70","TN","TN005","Metropolitan Development & Housing Agency",975,"Metropolitan Development & Housing Agency",6152528410,6152523677,"ssolomon@nashville-MDHA.org",6152528410,NA,"ssolomon@nashville-MDHA.org"
"71","FL","FL001","Jacksonville Housing Authority",931,"Jacksonville Housing Authority",9046303810,9046303888,"dalexander@jaxha.org",9046303803,9046303818,"dalexander@jaxha.org"
"72","MD","MD901","MD Dept. Of Housing and Community Development",1319,"MD Dept. Of Housing and Community Development",3014297400,NA,"dhcd.rental_services@Maryland.gov",3014297775,4105586579,"Gregory.Hare@Maryland.gov"
"73","AK","AK901","Alaska Housing Finance Corporation",1472,"Alaska Housing Finance Corporation",9073388432,9073381683,"cstone@ahfc.us",9073308432,9073381683,"cstone@ahfc.us"
"74","CO","CO001","Housing Authority of the City and County of Denver",2492,"Housing Authority of the City and County of Denver",7209323000,7209323001,"officials@denverhousing.org",7209323106,7209323001,"officials@denverhousing.org"
"75","TN","TN001","Memphis Housing Authority",629,"Memphis Housing Authority",9015441102,9015441146,"info@memphisha.org",9015441102,NA,"mlewis@memphisha.org"
"76","OR","OR006","Housing Authority & Comm Svcs of Lane Co",1709,"Housing Authority & Comm Svcs of Lane Co",5416823755,5416823411,"jfox@homesforgood.org",5416822527,5416823411,"Jfox@homesforgood.org"
"77","CA","CA086","COUNTY OF HUMBOLDT HSG AUTH",3022,"COUNTY OF HUMBOLDT HSG AUTH",7074434583,7074434762,"cherylc@eureka-humboldt-hsg.org",7074434583,7074434762,"cherylr@eureka-humboldt-hsg.org"
"78","HI","HI901","Hawaii Public Housing Authority",1829,"Hawaii Public Housing Authority",8088324694,8088324679,"hpha@hawaii.gov",8088324694,8088324679,"hakim.ouansafi@hawaii.gov"
"79","FL","FL079","BROWARD COUNTY HOUSING AUTHORITY",2418,"BROWARD COUNTY HOUSING AUTHORITY",9547391114,9545350407,"adeibert@bchafl.org",9547391114,9545350407,"adeibert@bchafl.org"
"80","NC","NC003","INLIVIAN",1190,"INLIVIAN",7043365183,7043365237,"",7043365221,NA,"fmeachem@inlivian.com"
"81","OR","OR019","Linn-Benton Housing Authority",1345,"Linn-Benton Housing Authority",5419264497,5419263589,"mail@l-bha.org",5419187314,5419263589,"SeniorMgmt@L-bha.org"
"82","AZ","AZ004","Housing and Community Development Tucson",1562,"Housing and Community Development Tucson",5207914171,5207915407,"liz.morales@tucsonaz.gov",5208375395,NA,"liz.morales@tucsonaz.gov"
"83","VA","VA019","Fairfax County Redevelopment & Hsg Authority",601,"Fairfax County Redevelopment & Hsg Authority",7036537130,7036531382,"Thomas.Fleetwood@fairfaxcounty.gov",7032465103,7032465115,"thomas.fleetwood@fairfaxcounty.gov"
"84","MO","MO002","Housing Authority of Kansas City, Missouri",3248,"Housing Authority of Kansas City, Missouri",8169684201,8169684110,"elowndes@hakc.org",8169684201,8169684111,"elowndes@hakc.org"
"85","CA","CA006","Housing Authority City of Fresno",3115,"Housing Authority City of Fresno",5594438400,5594438922,"anguyen@fresnohousing.org",5594438400,NA,"anguyen@fresnohousing.org"
"86","MO","MO001","St. Louis Housing Authority",2945,"St. Louis Housing Authority",3142864357,3145310184,"agreen@slha.org",3142864357,3142897357,"agreen@slha.org"
"87","MN","MN001","Public Housing Agency of the City of St Paul",3263,"Public Housing Agency of the City of St Paul",6512985664,6512984258,"jon.gutzmann@stpha.org",6512985664,6512984258,"Jon.Gutzmann@stpha.org"
"88","CA","CA143","Imperial Valley Housing Authority",1384,"Imperial Valley Housing Authority",7603517000,7603449712,"kmann@ivha.org",7603517000,NA,"kmann@ivha.org"
"89","CA","CA064","Housing Authority of the City of San Luis Obispo",3842,"Housing Authority of the City of San Luis Obispo",8055434478,8055434992,"ssmith@haslo.org",8055434478,8055434992,"ssmith@haslo.org"
"90","FL","FL004","Orlando Housing Authority",691,"Orlando Housing Authority",4078953300,4078950820,"vivian.bryant@orl-oha.org",4078953300,4078950820,"vivian.bryant@orl-oha.org"
"91","CA","CA085","COUNTY OF SONOMA",3019,"COUNTY OF SONOMA",7075657500,7075657583,"martha.cheever@sonoma-county.org",7075657508,7075657557,"Tina.Rivera@sonoma-county.org"
"92","FL","FL066","HIALEAH HOUSING AUTHORITY",1176,"HIALEAH HOUSING AUTHORITY",3058889744,3058878738,"jponce@hialeahhousing.org",7862573514,NA,"jponce@hialeahhousing.org"
"93","MO","MO004","Housing Authority of St. Louis County",3016,"Housing Authority of St. Louis County",3144283200,3144282937,"haslc@haslc.com",3142273114,NA,"skoenig@haslc.com"
"94","LA","LA903","Louisiana Housing Authority",2481,"Louisiana Housing Authority",2257638809,2253422079,"cparker@lhc.la.gov",NA,NA,""
"95","KS","KS004","Wichita Housing Authority",2125,"Wichita Housing Authority",3164623795,3164623719,"sstang@wichita.gov",3164623795,3163379103,"sstang@wichita.gov"
"96","NE","NE001","Omaha Housing Authority",3232,"Omaha Housing Authority",4024446900,4024446046,"jpoore@ohauthority.org",4024446900,NA,"jpoore@ohauthority.org"
"97","PA","PA001","Housing Authority of the City of Pittsburgh",527,"Housing Authority of the City of Pittsburgh",4124565012,4124565068,"Caster.Binion@hacp.org",4124565012,4124565068,"Caster.Binion@hacp.org"
"98","PA","PA006","ALLEGHENY COUNTY HOUSING AUTHORITY",526,"ALLEGHENY COUNTY HOUSING AUTHORITY",4123558940,4123558954,"fmags@achsng.com",4124022450,4123558954,"franka@achsng.com"
"99","MD","MD015","Housing Authority of Prince Georges County",1053,"Housing Authority of Prince Georges County",3018835552,3018839832,"NFSimms@co.pg.md.us",3018835552,NA,"NFSimms@co.pg.md.us"
"100","NC","NC002","Housing Authority of the City of Raleigh",1389,"Housing Authority of the City of Raleigh",9198316416,9198316160,"info@rhaonline.com",9195081301,9198316160,"info@rhaonline.com"
"101","CA","CA028","Housing Authority of Fresno County",3093,"Housing Authority of Fresno County",5594438400,5594458922,"anguyen@fresnohousing.org",5594438400,5594458981,"anguyen@fresnohousing.org"
"102","NV","NV001","CITY OF RENO HOUSING AUTHORITY",2989,"CITY OF RENO HOUSING AUTHORITY",7753293630,7757861712,"ajones@renoha.org",7753293630,7757861712,"ajones@renoha.org"
"103","WA","WA005","HA City of Tacoma",2640,"HA City of Tacoma",2532074400,2532074440,"mmirra@tacomahousing.org",2532074450,2532074440,"mmirra@tacomahousing.org"
"104","TX","TX004","Housing Authority of Fort Worth",2116,"Housing Authority of Fort Worth",8173333401,8173324830,"contacts@fwhs.org",8173333400,NA,"MMLemons@fwhs.org"
"105","TQ","TQ901","Northern Marianas Housing Coproration",1898,"Northern Marianas Housing Coproration",6702349447,6702349021,"nmhc@nmhc.gov.mp",6702346866,6702349021,"jspalacios@nmhcgov.net"
"106","CA","CA088","CITY OF SANTA ROSA",3001,"CITY OF SANTA ROSA",7075433303,7075433317,"mbasinger@srcity.org",7075433303,NA,"mbasinger@srcity.org"
"107","UT","UT003","Housing Authority of the County of Salt Lake",1434,"Housing Authority of the County of Salt Lake",8012844400,8012844406,"JJKIMBALL@hacsl.org",8012844423,8082844406,"jjkimball@housingconnect.org"
"108","KY","KY001","Louisville Metro Housing Authority",1594,"Louisville Metro Housing Authority",5025693400,5025693459,"osanka@Lmha1.org",5025693420,5025693459,"osanka@LMHA1.org"
"109","MA","MA003","Cambridge Housing Authority",34,"Cambridge Housing Authority",6178643020,6175479821,"ed@cambridge-housing.org",6178643020,NA,"mjjohnston@cambridge-housing.org"
"110","CA","CA048","Regional Housing Authority",2660,"Regional Housing Authority",5306710220,5306730775,"",5306710220,5306730775,"G.Becerra@regionalha.org"
"111","CA","CA021","Housing Authority of the County of Santa Barbara",3522,"Housing Authority of the County of Santa Barbara",8057363423,8057357672,"bobhavlicek@hasbarco.org",8057363423,8057357672,"bobhavlicek@hasbarco.org"
"112","MS","MS058","Mississippi Regional Housing Authority No. VI",2105,"Mississippi Regional Housing Authority No. VI",6013737040,6017143970,"hjohnson@mrha6.org",6013737040,6017143970,"Hjohnson@mrha6.org"
"113","KS","KS002","Topeka Housing Authority",3784,"Topeka Housing Authority",7852867277,7853572648,"tgeorge@tha.gov",7853578842,7853572648,"tgeorge@tha.gov"
"114","TX","TX559","Dallas County Housing Assistance Program",2978,"Dallas County Housing Assistance Program",2148191871,2148192828,"Phillip.huang@dallascounty.org",2148192014,NA,"Philip.Huang@dallascounty.org"
"115","OH","OH006","Lucas Metropolitan Housing Authority",2380,"Lucas Metropolitan Housing Authority",4192599400,4192599494,"jcintronvega@lucasmha.org",4192599520,NA,"jcintronvega@lucasmha.org"
"116","WI","WI002","Housing Authority of the City of Milwaukee",3148,"Housing Authority of the City of Milwaukee",4142865678,4142860833,"tony.perez@milwaukee.gov",4142865670,4142860833,"tony.perez@hacm.org"
"117","IA","IA020","Des Moines Municipal Housing Agency",3166,"Des Moines Municipal Housing Agency",5153238950,5152422844,"CMJohansen@dmgov.org",5153238976,5152422844,"CMJohansen@dmgov.org"
"118","NH","NH901","New Hampshire Housing Finance Agency",268,"New Hampshire Housing Finance Agency",6034728623,6034728729,"dchriston@nhhfa.org",6034728623,6034728729,"executivedirector@nhhfa.org"
"119","MD","MD004","HOUSING OPPRTY COM OF MONTGOMERY CO",1071,"HOUSING OPPRTY COM OF MONTGOMERY CO",2406279400,3019494690,"hud@hocmc.org",2406279420,NA,"stacy.spann@hocmc.org"
"120","CA","CA052","HOUSING AUTHORITY OF COUNTY OF MARIN",2848,"HOUSING AUTHORITY OF COUNTY OF MARIN",4154912525,4154793305,"KCarroll@marinhousing.org",4154912530,4154793305,"LJordan@marinhousing.org"
"121","CA","CA030","Tulare County Housing Authority",2768,"Tulare County Housing Authority",5596273700,5597330169,"info@hatc.net",5596273700,5597330169,"ken@hatc.net"
"122","CA","CA102","Housing Authority of the City of Garden Grove",1378,"Housing Authority of the City of Garden Grove",7147415150,7147415197,"",7147415150,NA,"dannyh@ggcity.org"
"123","NY","NY041","Rochester Housing Authority",634,"Rochester Housing Authority",5856973602,5856976191,"dcolon@rochesterhousing.org",5856976100,NA,"sburr@rochesterhousing.org"
"124","RI","RI901","Rhode Island Housing",211,"Rhode Island Housing",4014431614,4014571141,"cventura@rihousing.com",4014571129,4014571136,"cventura@rihousing.com"
"125","CA","CA043","COUNTY OF BUTTE HSG AUTH",2658,"COUNTY OF BUTTE HSG AUTH",5308954474,5308954459,"Contact@Butte-Housing.com",5308954474,5308954459,"EdM@Butte-Housing.com"
"126","OH","OH005","GREAT DAYTON PREMIER MANAGEMENT",2068,"GREAT DAYTON PREMIER MANAGEMENT",9379107500,9372223990,"Jheapy@gdpm.org",9379107622,9372223990,"jheapy@gdpm.org"
"127","ID","ID901","Idaho Housing and Finance Association",1350,"Idaho Housing and Finance Association",2083314886,2083314808,"lisas@ihfa.org",2083314732,2083360440,"jennt@ihfa.org"
"128","GA","GA237","Housing Authority of the County of Dekalb, GA",1080,"Housing Authority of the County of Dekalb, GA",4042702500,4042702550,"exdir@dekalbhousing.org",4042702633,4042702556,"pete.walker@dekalbhousing.org"
"129","IL","IL006","Housing Authority of Champaign County",2637,"Housing Authority of Champaign County",2173787100,2173787113,"davidn@hacc.net",2173787100,2173787113,"lilyw@hacc.net"
"130","AL","AL047","The Housing Authority of the City of Huntsville",2288,"The Housing Authority of the City of Huntsville",2565390774,2565352245,"tmcginnis@hsvha.org",2565325697,NA,"tmcginnis@hsvha.org"
"131","HI","HI002","County of Hawaii",2545,"County of Hawaii",8089594642,8089599308,"ohcdeh@hawaiicounty.gov",8089618379,NA,"Susan.Kunz@hawaiicounty.gov"
"132","CA","CA079","City of Pasadena Housing Department",2395,"City of Pasadena Housing Department",6267446701,6267448330,"",6267446701,6267448330,"alansing@cityofpasadena.net"
"133","MT","MT901","Montana Department of Commerce",3138,"Montana Department of Commerce",4068412830,4068412810,"housing@mt.gov",4068412806,4068412810,"ltorgerson@mt.gov"
"134","PA","PA012","Montgomery County Housing Authority",1582,"Montgomery County Housing Authority",6102755720,6102750889,"joel.johnson@montcoha.org",6102755720,6102750889,"joel.johnson@montcoha.org"
"135","AZ","AZ005","City of Mesa Housing Authority",2600,"City of Mesa Housing Authority",4806443536,4806442923,"mary.brandon@mesaaz.gov",NA,NA,""
"136","FL","FL062","PINELLAS COUNTY HOUSING AUTHORITY",660,"PINELLAS COUNTY HOUSING AUTHORITY",7274437684,7274890757,"djohnson@pinellashousing.com",7274437684,NA,"djohnson@pinellashousing.com"
"137","FL","FL009","WEST PALM BEACH HOUSING AUTHORITY",2534,"WEST PALM BEACH HOUSING AUTHORITY",5616558530,5618328962,"",5616558530,5618328962,"Lodum@wpbha.org"
"138","LA","LA001","Housing Authority of New Orleans",3708,"Housing Authority of New Orleans",5046703300,5042868788,"ehester@hano.org",5046703269,NA,"ehester@hano.org"
"139","TX","TX003","Housing Authority of the City of El Paso, TX",1499,"Housing Authority of the City of El Paso, TX",9158493742,9158493708,"asaenz@hacep.org",9158493702,NA,"asaenz@hacep.org"
"140","WV","WV009","Fairmont/Morgantown Housing Authority",1591,"Fairmont/Morgantown Housing Authority",3043630860,3043630469,"home@fmhousing.com",3043630860,3043660469,"ccrouso@fmhousing.com"
"141","CA","CA111","Housing Authority of the City of Santa Monica",2846,"Housing Authority of the City of Santa Monica",3104588743,3102647757,"James.kemper@smgov.net",3104582647,NA,"James.kemper@smgov.net"
"142","FL","FL104","Pasco County Housing Authority",1689,"Pasco County Housing Authority",3524670725,3525676035,"tstaubs@pascocountyhousing.org",3525670848,3525676035,"tstaubs@pascocountyhousing.org"
"143","TX","TX434","Grand Prairie Housing & Neighborhood Services",1883,"Grand Prairie Housing & Neighborhood Services",9722378176,9722378318,"ecoleman@gptx.org",9722378174,9722378318,"ecoleman@gptx.org"
"144","WA","WA008","Housing Authority of the City of Vancouver",2696,"Housing Authority of the City of Vancouver",3606942501,3606948369,"rjohnson@vhausa.com",3609939500,NA,"rjohnson@vhausa.com"
"145","CO","CO028","Housing Authority of the City of Colorado Springs",1693,"Housing Authority of the City of Colorado Springs",7193876700,7196327807,"info@csha.us",7193876741,7196327807,"cew@csha.us"
"146","NJ","NJ002","Newark Housing Authority",449,"Newark Housing Authority",9732736600,9732736636,"vcirilo@newarkha.org",9732736600,9736421242,"vcirilo@newarkha.org"
